filename,width,height,class,xmin,ymin,xmax,ymax
6406_3_3_3956_3957.jpg,251,2179,vplug,150,8,227,123
6406_3_3_3956_3957.jpg,251,2179,vplug,93,1643,177,1773
6406_3_3_3956_3957.jpg,251,2179,hplug,64,1762,149,1837
6406_3_3_3956_3957.jpg,251,2179,hplug,106,903,221,981
6406_3_3_3956_3957.jpg,251,2179,hplug,44,24,131,98
6406_3_3_3956_3957.jpg,251,2179,scal,43,142,233,228
6406_3_3_3956_3957.jpg,251,2179,scal,23,281,230,349
6407_1_3_3655_3656.jpg,328,2465,scal,79,30,212,141
6407_1_3_3655_3656.jpg,328,2465,vplug,210,1414,294,1638
6407_1_3_3655_3656.jpg,328,2465,hplug,115,1517,215,1619
6407_1_3_3655_3656.jpg,328,2465,hplug,84,2359,194,2430
6407_1_3_3655_3656.jpg,328,2465,hplug,43,2228,304,2353
6407_1_3_3653_3654.jpg,320,2483,hplug,32,1,148,67
6407_1_3_3653_3654.jpg,320,2483,scal,66,198,222,337
6407_1_3_3653_3654.jpg,320,2483,hplug,27,110,196,195
6407_1_3_3653_3654.jpg,320,2483,hplug,162,722,271,830
6407_1_3_3653_3654.jpg,320,2483,hplug,60,1562,181,1659
6407_1_3_3653_3654.jpg,320,2483,vplug,155,1441,240,1577
6407_1_3_3653_3654.jpg,320,2483,vplug,95,2338,208,2459
6407_1_3_3653_3654.jpg,320,2483,scal,112,2187,255,2323
6407_1_3_3632_3633.jpg,385,2453,vplug,211,9,332,147
6407_1_3_3632_3633.jpg,385,2453,vplug,204,691,296,897
6407_1_3_3632_3633.jpg,385,2453,hplug,74,759,176,844
6407_1_3_3632_3633.jpg,385,2453,hplug,151,1819,248,1899
6407_1_3_3632_3633.jpg,385,2453,vplug,117,1897,229,2022
6407_1_3_3632_3633.jpg,385,2453,vplug,127,2145,232,2363
6407_1_3_3632_3633.jpg,385,2453,hplug,193,2340,327,2424
6407_1_3_3632_3633.jpg,385,2453,hplug,75,75,316,211
6407_1_3_3755_3756.jpg,316,2474,vplug,91,16,192,89
6407_1_3_3755_3756.jpg,316,2474,hplug,190,15,280,66
6407_1_3_3755_3756.jpg,316,2474,scal,82,130,262,252
6407_1_3_3755_3756.jpg,316,2474,hplug,93,875,237,964
6407_1_3_3755_3756.jpg,316,2474,hplug,92,1528,201,1610
6407_1_3_3755_3756.jpg,316,2474,scal,77,2135,234,2259
6407_1_3_3755_3756.jpg,316,2474,scal,40,2373,254,2423
6407_1_3_3756_3757.jpg,329,2502,hplug,32,38,270,133
6407_1_3_3756_3757.jpg,329,2502,hplug,37,717,136,809
6407_1_3_3756_3757.jpg,329,2502,hplug,151,1602,245,1690
6407_1_3_3756_3757.jpg,329,2502,hplug,73,2301,166,2393
6407_1_3_3756_3757.jpg,329,2502,scal,117,2158,254,2282
6407_1_3_3756_3757.jpg,329,2502,scal,141,1899,281,2030
6407_1_3_3756_3757.jpg,329,2502,vplug,177,723,265,891
6406_3_3_3940_3941.jpg,270,2193,hplug,43,42,233,115
6406_3_3_3940_3941.jpg,270,2193,scal,36,241,240,333
6406_3_3_3940_3941.jpg,270,2193,scal,87,329,253,422
6406_3_3_3940_3941.jpg,270,2193,hplug,164,552,250,642
6406_3_3_3940_3941.jpg,270,2193,vplug,64,482,196,606
6406_3_3_3940_3941.jpg,270,2193,hplug,96,1632,198,1716
6406_3_3_3940_3941.jpg,270,2193,vplug,143,1584,191,1783
6406_3_3_3940_3941.jpg,270,2193,vplug,89,2016,169,2142
6406_3_3_3940_3941.jpg,270,2193,hplug,31,967,248,1043
6407_1_3_3643_3644.jpg,309,2426,hplug,145,39,260,116
6407_1_3_3643_3644.jpg,309,2426,hplug,68,757,213,857
6407_1_3_3643_3644.jpg,309,2426,hplug,75,1533,183,1630
6407_1_3_3643_3644.jpg,309,2426,hplug,30,2234,275,2346
6407_1_3_3643_3644.jpg,309,2426,vplug,194,1543,279,1770
6407_1_3_3643_3644.jpg,309,2426,vplug,77,583,177,770
6407_1_3_3643_3644.jpg,309,2426,scal,93,190,264,308
6407_1_3_3692_3693.jpg,319,2465,hplug,59,779,210,869
6407_1_3_3692_3693.jpg,319,2465,hplug,160,1651,266,1751
6407_1_3_3692_3693.jpg,319,2465,vplug,41,1560,144,1737
6407_1_3_3692_3693.jpg,319,2465,scal,118,2256,270,2387
"6406_3_3_3952_3952,45.jpg",279,922,hplug,42,9,129,60
"6406_3_3_3952_3952,45.jpg",279,922,hplug,127,413,212,493
"6406_3_3_3952_3952,45.jpg",279,922,vplug,148,328,217,413
"6406_3_3_3952_3952,45.jpg",279,922,scal,99,113,213,213
"6406_3_3_3952_3952,45.jpg",279,922,scal,126,213,231,310
